School Abbreviation,School Name,School Country,School State,School City 
,Indiana Institute of Technology,USA,IN,
,Indiana State University,USA,IN,
,Indiana Universityƒ??Bloomington,USA,IN,
,Indiana Universityƒ??East,USA,IN,
,Indiana Universityƒ??Kokomo,USA,IN,
,Indiana Universityƒ??Northwest,USA,IN,
,Indiana Universityƒ??South Bend,USA,IN,
,Indiana Universityƒ??Southeast,USA,IN,
,Indiana University System,USA,IN,
,Indiana University/Purdue University at Columbus,USA,IN,
,Indiana University/Purdue University at Fort Wayne,USA,IN,
,Indiana University/Purdue University at Indianapolis,USA,IN,
,Indiana University of Pennsylvania,USA,PA,
,Indiana Wesleyan University,USA,IN,
,Institute for Clinical Social Work,USA,IL,
,Institute for the Psychological Sciences,USA,VA,
,Institute of American Indian Arts,USA,NM,
,Institute of Textile Technology,USA,VA,
,Institute of Transpersonal Psychology,USA,CA,
,Institute of World Politics,USA,DC,
,Interdenominational Theological Center,USA,GA,
,Iona College,USA,NY,
,Iowa State University,USA,IA,
,Iowa Wesleyan College,USA,IA,
,Ithaca College,USA,NY,
,Jackson State University,USA,MS,
,Jacksonville University,USA,FL,
,Jacksonville State University,USA,AL,
,James Madison University,USA,VA,
,Jamestown College,USA,ND,
,Jarvis Christian College,USA,TX,
,Jefferson College of Health Sciences,USA,VA,
,Jesuit School of Theology at Berkeley,USA,CA,
,The Jewish Theological Seminary of America,USA,NY,
,John Brown University,USA,AR,
,John Carroll University,USA,OH,
,John F. Kennedy University,USA,CA,
,John Marshall Law School,USA,IL,
,Johns Hopkins University,USA,MD,
,Johnson Bible College,USA,TN,
,Johnson C. Smith University,USA,NC,
,Johnson State College,USA,VT,
,Johnson & Wales University,USA,RI,
,Jones International University,USA,CO,
,Judson College,USA,AL,
,Judson University,USA,IL,
,The Juilliard School,USA,NY,
,Juniata College,USA,PA,
,La Roche College,USA,PA,
,La Sierra University,USA,CA,
,Laboratory Institute of Merchandising,USA,NY,
,LaGrange College,USA,GA,
,Lafayette College,USA,PA,
,Lake Erie College,USA,OH,
,Lake Erie College of Osteopathic Medicine,USA,PA,
,Lake Forest College,USA,IL,
,Lake Forest Graduate School of Management,USA,IL,
,Lake Superior State University,USA,MI,
,Lakeland College,USA,WI,
,Lakeview College of Nursing,USA,IL,
,Lamar University,USA,TX,
,Lambuth University,USA,TN,
,Lancaster Bible College,USA,PA,
,Lander University,USA,SC,
,Lane College,USA,TN,
,Langston University,USA,OK,
,LaSalle University,USA,PA,
,Lasell College,USA,MA,
,Lawrence Technological University,USA,MI,
,Lawrence University,USA,WI,
,Le Moyne College,USA,NY,
,Lebanon Valley College,USA,PA,
,Lee University,USA,TN,
,Lees-McRae College,USA,NC,
,Lehigh University,USA,PA,
,LeMoyne-Owen College,USA,TN,
,Lenoir-Rhyne University,USA,NC,
,Lesley University,USA,MA,
,LeTourneau University,USA,TX,
,Lewis & Clark College,USA,OR,
,Lewis-Clark State College,USA,ID,
,Lewis University,USA,IL,
,Lexington College,USA,IL,
,Liberty University,USA,VA,
,Life Pacific College,USA,CA,
,Life University,USA,GA,
,Limestone College,USA,SC,
,Lincoln Christian University,USA,IL,
,Lincoln College,USA,IL,
,Lincoln College of New England,USA,CT,
,Lincoln Memorial University,USA,TN,
,Lincoln University,USA,CA,
,Lincoln University,USA,MO,
,Lincoln University,USA,PA,
,Lindenwood University,USA,MO,
,Lindsey Wilson College,USA,KY,
,Linfield College,USA,OR,
,Lipscomb University,USA,TN,
,Livingstone College,USA,NC,
,Lock Haven University of Pennsylvania,USA,PA,
,Logan University,USA,MO,
,Loma Linda University,USA,CA,
,Long Island University,USA,NY,
,Long Island Universityƒ??Arnold & Marie Schwartz College of Pharmacy & Health Sciences,,,
,Long Island Universityƒ??Brentwood Campus,,,
,Long Island Universityƒ??Brooklyn Campus,,,
